	V1
10714	1310.43
10716	955.571
10718	1656.89
10720	1277.36
12459	613.573
12461	705.56
12463	739.773
12465	828.042
12467	936.425
12469	800.789
12471	763.239
12473	734.204
12475	851.643
12477	1009.87
12479	884.214
12481	1231.77
12483	997.089
12487	957.284
12489	983.486
12491	822.466
12493	736.125
12495	814.73
12497	901.193
12560	391.297
12562	544.495
12564	735.874
12566	951.527
12568	1045.69
12570	864.897
12572	542.916
12574	843.252
12576	875.42
12578	695.647
12580	958.575
12582	805.315
12838	1585.41
12860	1802.34
12862	1273.21
12884	2014.88
12886	1700.5
12891	787.752
12897	1157.22
12901	1092.84
12903	908.174
13274	1040.39
13276	1239.27
13278	816.972
13729	1468.8
13731	776.115
13733	958.102
13735	1024.72
13906	844.182
14185	1273.63
14187	962.653
19453	772.243
19455	886.68
19457	969.276
19459	903.625
19461	1282.44
19463	1204.38
19465	726.85
19467	718.451
19475	986.259
19477	878.671
19479	688.39
19481	743.863
19483	678.392
19485	990.871
19487	1252.2
19489	845.543
19491	930.19
19493	785.042
19495	1226.07
19497	1252.97
19499	795.161
19501	646.3
19503	857.308
19505	743.144
19507	836.702
19511	1450.04
19515	678.117
19517	753.938
7031	1185.4
7035	2557.61
7039	3203.47
7041	1240.12
7043	1425.19
7067	1901.82
7069	2118.76
7075	2635.37
7077	2464.15
7083	1801.63
7085	1595.59
7091	2390.54
7093	2694.9
7826	823.599
7827	994.742
7829	738.201
7831	1089.47
7833	1006.89
7835	869.842
7837	744.602
7839	524.877
7841	761.53
7843	1051.39
7845	577.656
7847	1062.88
7849	836.259
7851	1686.28
7853	1333.9
7855	784.148
7857	901.853
7882	865.761
7886	1096.3
7888	958.454
7892	1054.39
7894	1030.67
7896	880.051
7898	1824.34
7900	1120.51
7904	1372.18
7910	1215.51
7912	1404.44
7916	949.858
7918	842.771
8076	1003.42
8078	1029.26
8084	928.122
8088	897.154
8108	1009.7
8114	1239
8124	1015.8
8128	1011.41
8130	842.383
8132	1203.33
8134	1095.64
8142	622.931
8144	914.456
8146	778.076
8148	1009.75
8150	1210.3
8152	894.77
8162	883.075
8164	1973.89
8455	1327.42
8457	1690.27
8459	2501.35
8461	1809.64
9430	789.811
9434	801.731
9436	811.468
9438	887.945
9440	528.68
9442	856.72
9444	598.438
9446	819.735
9448	713.464
9450	583.508
9452	557.02
9456	649.947
9458	576.61
9460	587.571
9462	785.182
9464	930.622
9466	961.853
9468	745.448
9484	784.964
9486	792.791
9488	1016.47
9490	1095.22
9492	969.942
9494	932.372
9496	1164.59
9498	877.737
9500	1039.94
9502	1001.45
9504	1104.48
9506	1426.72
9508	1411.01
9510	1263.68
9512	1336.78
9514	1399.79
9522	1122.18
9524	1494.65
9526	1276.17
9528	1201.04
9530	1244.34
9586	630.754
9588	755.26
