	totalbp	genome_number	ags
10714	5043411414	873.246334299463	5.77547390227058
10716	3874993792	733.951581541474	5.27963136731933
10718	6014916621	1047.75597988632	5.74076095624156
10720	5027957459	883.613297088005	5.69022385196093
12459	4544465038	532.368208435625	8.53631934813313
12461	4525043405	587.672636052699	7.69993892414997
12463	3843790496	615.496924275771	6.24501982771534
12465	4794533214	670.329226680766	7.15250510221796
12467	5827926509	762.909881318686	7.63907592719399
12469	4640827514	652.397812867606	7.11349336626575
12471	4806717239	648.590009924136	7.4110257103131
12473	4667571488	601.640417472898	7.75807501032834
12475	5120011688	688.64422800154	7.43491556279848
12477	6340556562	792.444365738628	8.00126398285392
12479	5197478798	679.129473439584	7.65314862816416
12481	4231985054	734.846126553157	5.75900845235505
12483	4180211699	678.135084649311	6.16427581115603
12487	3848230669	621.471182099944	6.19213051198428
12489	5235033065	755.046382787843	6.93339268201085
12491	5015054633	710.789899879091	7.05560761886612
12493	4124294890	585.637981209376	7.04239653562615
12495	4705591587	656.610296570067	7.16649070473092
12497	5179401430	741.622932229585	6.98387442582022
12560	3313084313	370.574905040267	8.94039037165779
12562	3377603163	479.847883923091	7.03890394469543
12564	3952215862	573.037553598655	6.89695786459409
12566	5330284584	744.53782967529	7.15918570091282
12568	5860053827	858.762903845682	6.82383205045038
12570	5025766911	704.775177780855	7.13102145115946
12572	3579706521	504.338109576917	7.09783070726695
12574	4688372427	680.443535287407	6.89017116610523
12576	5076048896	726.922199149354	6.98293283922269
12578	4431358556	615.53642069891	7.19918173317579
12580	5469320015	793.957137963822	6.88868422926026
12582	4508354900	624.54469791993	7.21862648904914
12838	9640272151	1281.00354765479	7.52556241444375
12860	5983834986	938.828945623189	6.37372229935663
12862	5257030592	859.928537246502	6.11333426476699
12884	10961299605	1671.74298963631	6.55680907469194
12886	8016568480	1277.92784513138	6.2730994637462
12891	5432976919	623.575311464025	8.71262351013305
12897	5449106714	927.011590061834	5.87814302692432
12901	5212734265	858.419445493128	6.07247924353052
12903	5932315201	726.18909669761	8.16910530325719
13274	4064431535	675.247638798298	6.01917178449265
13276	4963723368	789.173174924002	6.28977710561185
13278	4631301665	670.549577283675	6.90672520257325
13729	6629122549	1171.82046777904	5.65711449089488
13731	2901907859	491.230698911622	5.90742367166692
13733	4099427100	699.441310680879	5.86100225622843
13735	3821518667	679.507714895124	5.62395184518224
13906	4518173804	621.409988974143	7.27084193071766
14185	6044973614	1024.77133766454	5.89885117959732
14187	5991292790	774.741429624795	7.73328049966499
19453	4081594799	572.917571849706	7.12422693865415
19455	4501280573	647.866197770823	6.94785526469509
19457	4559148537	699.529729581096	6.51744785704845
19459	4631438473	645.211148403568	7.17817490361019
19461	6464917316	923.485971082337	7.00055823092043
19463	5749098542	838.82454532659	6.85375573954101
19465	3922939825	568.358302466756	6.90223017412411
19467	3961861579	551.40391790726	7.18504430297926
19475	5597739808	807.93380868194	6.92846338134077
19477	4821414534	692.041771155113	6.96694149827458
19479	3842281357	531.097314297827	7.23460890040453
19481	4108888288	583.933174477556	7.03657279221413
19483	3984438309	553.558264324673	7.19786617920141
19485	5265790698	723.696264510464	7.27624413200749
19487	6062708268	903.470809506049	6.71046391782667
19489	3674012185	571.529120610616	6.42839017734515
19491	4389933297	688.933579669028	6.3720704383563
19493	3920503118	584.427708973723	6.70827727330819
19495	4812666316	779.483893062902	6.17417031811796
19497	6576900880	939.235609697002	7.00239728146776
19499	4537342814	598.141034505717	7.5857407404752
19501	3610049835	498.642347356155	7.23975782269757
19503	4615419950	647.875695246704	7.12392822243857
19505	4361465393	587.752449768456	7.42058224464771
19507	4333710041	678.203049658069	6.38998902052259
19511	6281721250	894.80088931595	7.02024475501159
19515	3617810614	519.947707398247	6.95802782188054
19517	4267947703	583.274318291584	7.31722204999675
7031	4802870028	778.940512454937	6.16590092722627
7035	10980472439	1917.99595443313	5.72497163699458
7039	9655218904	1792.38300262455	5.38680566032039
7041	4870009301	816.047597642371	5.96780054873008
7043	5660109535	982.074103078104	5.76342408099305
7067	9398808061	1448.33160787291	6.48940340037428
7069	9548533119	1562.33640746002	6.11170108653079
7075	10658811150	1893.4274416917	5.6293739677063
7077	9495981034	1514.62049228717	6.26954480172158
7083	8938069132	1387.38083127383	6.44240494788549
7085	7638523137	1186.21543145044	6.43940631227499
7091	10491427147	1789.3837773212	5.86315092378126
7093	11681429159	1900.87547507464	6.14528900613088
7826	4048845084	563.399613767078	7.18645342499984
7827	5095214982	749.02863330115	6.80243018153279
7829	4000873778	565.727430976483	7.0720872966938
7831	5927550281	887.548702370518	6.67856340183738
7833	4587367525	676.372481374459	6.78230952814342
7835	4295432562	695.496899861053	6.17606284493597
7837	4111267063	595.198950250817	6.90738292005977
7839	3222263987	445.77735133452	7.22841565941728
7841	3885169632	570.767874413536	6.8069171482225
7843	5959182830	905.232906346941	6.58303823051266
7845	2872982552	445.957167169515	6.44228361713478
7847	5190300383	789.962788598221	6.57030996638477
7849	3664733873	551.228529859962	6.64830224576912
7851	6332252887	1075.02200983075	5.89034720135351
7853	5471672101	888.50502401194	6.1582905590036
7855	4434616636	679.209880762359	6.5290814542075
7857	3761223391	604.665433714345	6.22033802708965
7882	4692550887	674.143221948578	6.96076254158042
7886	5106146658	847.602530228902	6.02422300063338
7888	4832479189	835.81888809375	5.7817300587947
7892	4523855799	784.919424283747	5.76346521571701
7894	4390353861	726.27464541337	6.04503253517981
7896	3473673549	582.962302267042	5.95865896558229
7898	7037611049	1286.47552127484	5.47045857664362
7900	4319276857	745.259172734712	5.79567084179657
7904	5788936273	992.338640006874	5.83362981104908
7910	4570254869	800.491902002568	5.7093080611643
7912	5267680578	935.421524751884	5.63134420003562
7916	3709884546	624.703082117572	5.93863653341442
7918	3813012103	596.71220220454	6.39003541223543
8076	4768657419	736.507822116603	6.4746867253842
8078	4626042748	753.757800931546	6.13730662857859
8084	4076408939	650.754150691898	6.26413052404792
8088	4076653527	727.514641964256	5.60353468074982
8108	3938479416	654.330839811432	6.01909489263109
8114	5213491586	873.973844617645	5.9652718649502
8124	4591563530	739.260163126606	6.21102523715139
8128	4603572354	762.305851217966	6.03900960047032
8130	3682648724	613.181450774711	6.00580581709906
8132	4431830985	728.435627878364	6.08403929652386
8134	3759286024	612.304534966315	6.13956913483715
8142	3436409596	484.325642094347	7.09524604383962
8144	5396874798	759.222995372921	7.10841851589219
8146	4567904339	654.7979552207	6.97605162413861
8148	5652431597	790.22567401873	7.15293337440467
8150	5484269132	858.751757756135	6.38632652855356
8152	5214042706	756.44647818908	6.89281113249722
8162	4092883187	657.412203899499	6.22574872009174
8164	7456301807	1271.52632649842	5.86405617533177
8455	5521375287	897.96064228515	6.14879430901234
8457	6239429250	1038.22702757487	6.00969641926417
8459	8957390583	1409.56712478289	6.35471019826719
8461	5086050801	842.995825652543	6.03330484710646
9430	4348612524	631.626870927673	6.88478075293595
9434	4857774481	660.391689662663	7.35589886584039
9436	4656702279	688.180615715893	6.76668620512622
9438	5477503340	724.618719989063	7.55915240511959
9440	3539379204	456.549992009395	7.75244609779156
9442	5410823876	719.152721621787	7.52388708729053
9444	3805395084	464.756144796229	8.18793925934742
9446	5083829647	676.763552973327	7.5119731620659
9448	4794687553	607.638930326257	7.89068526341065
9450	4016692073	484.105888722557	8.29713533045243
9452	3648916700	450.815683792148	8.094032286779
9456	4299022000	565.175547159387	7.60652512587849
9458	3574258966	458.595132804302	7.79393131397505
9460	3870544346	485.97181069828	7.96454498140235
9462	4614383220	619.865260374702	7.44417136267751
9464	5583983991	761.580792550392	7.33209666738086
9466	5209272496	751.147116961661	6.93508951624703
9468	4664056949	619.277568030993	7.5314482386783
9484	4415804925	623.829952116235	7.07853944816235
9486	4409823118	613.452220376582	7.18853558846511
9488	5458687225	861.937017777476	6.33304651316096
9490	5113374062	833.329248136752	6.13607895490652
9492	4779277885	742.569775530013	6.43613306451743
9494	4932630644	752.000541634596	6.55934453621286
9496	4967202046	818.541911481581	6.06835395515575
9498	4623188706	691.242303424887	6.68823172872025
9500	5020953646	767.714123682059	6.54013452549087
9502	4599764465	728.980112178634	6.30986276326952
9504	6202528632	909.5621583669	6.81924657368828
9506	5740616208	957.961277346632	5.99253471278129
9508	5843246230	982.907369366272	5.94485951790902
9510	5348773708	887.657846342371	6.02571557277371
9512	5289906729	892.955505124435	5.92404290991279
9514	4935566260	895.177303131112	5.5135069250936
9522	4680317157	833.095510559007	5.61798388981775
9524	5315538884	965.147933115559	5.50748616001394
9526	4780258989	887.604205936755	5.38557496351095
9528	5015101095	911.964408590102	5.49922896964077
9530	4659677301	855.54047118612	5.4464720932954
9586	4401994156	588.154444872934	7.4844187515254
9588	4658512018	654.219437083769	7.12071784165517
