	gc_mean	Sample	gc_var
1	66.1487	10714	8.51071
2	67.2452	10716	8.44356
3	65.909	10718	9.45433
4	66.8605	10720	8.23476
5	60.7796	12459	7.7246
6	60.844	12461	8.58844
7	63.4196	12463	9.57465
8	61.5531	12465	8.55679
9	60.8902	12467	9.16003
10	61.4062	12469	8.49435
11	61.5186	12471	8.20046
12	60.7874	12473	8.36446
13	60.8016	12475	8.76112
14	60.3948	12477	8.51916
15	60.6349	12479	8.4744
16	66.285	12481	9.23465
17	66.099	12483	9.70762
18	66.222	12487	9.48968
19	61.7208	12489	8.99014
20	62.0653	12491	8.91723
21	61.5276	12493	8.49134
22	61.0382	12495	9.7724
23	61.8248	12497	8.9162
24	61.0555	12560	7.78856
25	61.7642	12562	8.8815
26	61.4419	12564	9.10502
27	61.1071	12566	8.67661
28	61.7484	12568	9.03002
29	60.7365	12570	8.91415
30	62.1589	12572	8.8248
31	62.1549	12574	8.9378
32	61.8193	12576	9.14679
33	60.6978	12578	9.74732
34	62.0111	12580	9.17662
35	61.5081	12582	8.2777
36	61.1124	12838	8.91991
37	65.4406	12860	8.51823
38	66.8225	12862	8.74893
39	63.7443	12884	9.04121
40	64.0524	12886	9.04135
41	59.1753	12891	8.06868
42	66.4998	12897	7.97727
43	65.5751	12901	9.06886
44	60.8427	12903	7.63089
45	62.7791	13274	10.3692
46	61.7928	13276	11.2388
47	62.1715	13278	8.86782
48	65.3587	13729	8.60154
49	65.776	13731	9.21325
50	66.3504	13733	9.71017
51	66.3218	13735	8.54127
52	60.3993	13906	8.9881
53	59.8879	14185	9.78972
54	61.5393	14187	8.4463
55	62.5157	19453	9.06609
56	61.6035	19455	9.52041
57	62.8662	19457	9.86082
58	61.9694	19459	9.04979
59	61.8805	19461	9.55304
60	61.3324	19463	8.95627
61	61.0555	19465	8.80653
62	60.6735	19467	9.06298
63	61.9704	19475	8.80776
64	61.715	19477	8.93658
65	63.0845	19479	8.199
66	62.5972	19481	8.60848
67	61.1386	19483	8.35596
68	61.5236	19485	9.17303
69	62.0335	19487	10.2066
70	62.9643	19489	10.5712
71	63.0004	19491	9.66894
72	62.2955	19493	9.36355
73	62.7944	19495	10.1015
74	62.8839	19497	9.33867
75	62.1027	19499	8.66471
76	61.1847	19501	8.79687
77	61.4009	19503	8.91418
78	61.7583	19505	8.72469
79	62.6492	19507	9.43092
80	61.4191	19511	8.90164
81	62.9396	19515	8.62222
82	60.9099	19517	8.39265
83	65.4534	7031	9.79669
84	67.1047	7035	8.5242
85	66.4981	7039	9.74535
86	66.9324	7041	9.47478
87	66.9266	7043	9.19369
88	66.2348	7067	8.17333
89	67.5827	7069	7.79886
90	67.7094	7075	8.38062
91	65.7643	7077	8.93519
92	63.6895	7083	9.3855
93	63.2159	7085	9.2196
94	66.2271	7091	9.13265
95	64.7021	7093	9.11299
96	60.6314	7826	10.4774
97	61.9507	7827	9.43322
98	60.5279	7829	9.49759
99	61.0928	7831	8.60267
100	59.7073	7833	10.5574
101	62.4708	7835	10.4182
102	61.45	7837	9.08013
103	61.6842	7839	8.56386
104	59.9689	7841	9.97209
105	61.8854	7843	9.1804
106	61.7953	7845	9.51365
107	60.3546	7847	9.45091
108	61.1318	7849	10.4112
109	65.4517	7851	9.18107
110	61.0478	7853	10.9603
111	61.2784	7855	9.8824
112	63.0819	7857	10.2678
113	64.3356	7882	8.78338
114	64.006	7886	9.47582
115	58.5707	7888	12.4857
116	66.4042	7892	8.56773
117	65.4446	7894	9.12226
118	64.7208	7896	9.8726
119	64.5597	7898	9.82114
120	65.1893	7900	9.73554
121	64.7942	7904	9.24577
122	64.7778	7910	10.1462
123	63.4544	7912	8.80811
124	64.934	7916	9.44491
125	64.2212	7918	9.27787
126	63.6113	8076	9.06721
127	64.2637	8078	9.05985
128	64.0921	8084	9.31503
129	64.7011	8088	9.25181
130	63.3648	8108	10.0681
131	63.4306	8114	10.2154
132	62.4502	8124	9.78755
133	63.5918	8128	9.95011
134	63.5094	8130	9.58471
135	64.767	8132	9.27652
136	63.5742	8134	9.4568
137	61.7407	8142	8.69075
138	61.969	8144	9.03736
139	61.9211	8146	9.11522
140	61.663	8148	9.4202
141	61.1398	8150	10.7331
142	61.8953	8152	9.20544
143	65.7264	8162	9.56402
144	66.2917	8164	9.50017
145	64.3089	8455	8.86791
146	66.3128	8457	8.55218
147	65.7669	8459	8.36385
148	65.9204	8461	9.80064
149	62.1588	9430	8.96154
150	62.9542	9434	9.1865
151	62.962	9436	9.20631
152	61.1576	9438	8.36565
153	60.4527	9440	8.42002
154	61.4868	9442	8.38959
155	60.5606	9444	8.09747
156	61.8518	9446	8.4436
157	60.945	9448	8.02288
158	60.3326	9450	7.84634
159	59.9137	9452	8.48976
160	61.3099	9456	8.36165
161	60.6982	9458	8.54214
162	60.598	9460	8.02288
163	61.2288	9462	8.23994
164	62.0473	9464	9.29497
165	62.2035	9466	9.10076
166	61.6758	9468	8.33374
167	61.7076	9484	8.81519
168	61.8703	9486	8.77283
169	64.7981	9488	9.44774
170	65.3773	9490	9.29246
171	64.3531	9492	8.55308
172	63.9945	9494	8.314
173	65.722	9496	8.48662
174	63.4795	9498	8.35802
175	65.6197	9500	8.02281
176	65.4123	9502	8.2907
177	63.7467	9504	8.19445
178	65.7556	9506	9.07464
179	66.1978	9508	9.1616
180	65.8992	9510	9.28203
181	66.3178	9512	9.08233
182	65.1033	9514	9.75099
183	66.6228	9522	7.81146
184	65.7348	9524	8.16471
185	66.292	9526	8.26705
186	66.7503	9528	7.96693
187	66.1157	9530	8.93739
188	60.1996	9586	8.17621
189	59.6242	9588	8.81484
