Sample	Num_Spacers
10714	35
10716	142
10718	32
10720	34
12459	40
12461	43
12463	23
12465	44
12467	63
12469	116
12471	46
12473	31
12475	44
12477	87
12479	42
12481	31
12483	42
12487	24
12489	40
12491	18
12493	36
12495	46
12497	77
12560	15
12562	40
12564	21
12566	47
12568	44
12570	91
12572	14
12574	52
12576	34
12578	30
12580	27
12582	21
12838	69
12860	41
12862	117
12884	57
12886	100
12891	51
12897	34
12901	59
12903	76
13274	67
13276	59
13278	33
13729	115
13731	13
13733	25
13735	23
13906	46
14185	71
14187	38
19453	35
19455	40
19457	37
19459	33
19461	52
19463	255
19465	42
19467	19
19475	44
19477	30
19479	44
19481	38
19483	54
19485	56
19487	80
19489	20
19491	28
19493	357
19495	79
19497	111
19499	39
19501	39
19503	37
19505	19
19507	40
19511	58
19515	45
19517	57
7031	28
7035	153
7039	110
7041	40
7043	37
7067	51
7069	87
7075	68
7077	106
7083	195
7085	162
7091	106
7093	117
7826	64
7827	45
7829	48
7831	193
7833	64
7835	85
7837	37
7839	14
7841	32
7843	82
7845	36
7847	130
7849	47
7851	78
7853	102
7855	53
7857	26
7882	71
7886	54
7888	186
7892	63
7894	53
7896	23
7898	98
7900	212
7904	39
7910	29
7912	67
7916	23
7918	33
8076	46
8078	57
8084	40
8088	96
8108	54
8114	60
8124	28
8128	63
8130	40
8132	81
8134	154
8142	19
8144	26
8146	53
8148	45
8150	136
8152	26
8162	39
8164	61
8455	65
8457	35
8459	71
8461	49
9430	40
9434	25
9436	24
9438	34
9440	21
9442	41
9444	33
9446	38
9448	38
9450	39
9452	52
9456	34
9458	29
9460	44
9462	42
9464	60
9466	56
9468	53
9484	63
9486	75
9488	126
9490	36
9492	41
9494	78
9496	134
9498	85
9500	46
9502	80
9504	52
9506	35
9508	43
9510	21
9512	19
9514	40
9522	23
9524	43
9526	41
9528	78
9530	15
9586	23
9588	47
