owner_org,bla,bla2,sample_id,notes,name,spatial,license_id,resource_permissions,access_control_date,access_control_mode,sequence_data_type,related_data,am_environment,ammonium_nitrogen_wt,ammonium_nitrogen_wt_meth,analysis_software_version,archive_ingestion_date,bioplatforms_dataset_id,bioplatforms_project,bioplatforms_project_code,biotic_relationship,boron_hot_cacl2,boron_hot_cacl2_meth,clay,clay_meth,coarse_sand,coarse_sand_meth,collection_date,color,conductivity,conductivity_meth,data_generated,data_type,database_schema_definitions_url,dataset_id,dataset_url,date_of_transfer,depth,depth_lower,depth_upper,description,dtpa_copper,dtpa_copper_meth,dtpa_iron,dtpa_iron_meth,dtpa_manganese,dtpa_manganese_meth,dtpa_zinc,dtpa_zinc_meth,elev,env_broad_scale,env_local_scale,env_medium,exc_aluminium,exc_aluminium_meth,exc_calcium,exc_calcium_meth,exc_magnesium,exc_magnesium_meth,exc_potassium,exc_potassium_meth,exc_sodium,exc_sodium_meth,facility,fine_sand,fine_sand_meth,flow_id,folder_name,general_env_feature,geo_loc_name,gravel,gravel_meth,hyperspectral_analysis,hyperspectral_analysis_meth,insert_size_range,lat_lon,latitude,library_construction_protocol,local_class,local_class_meth,longitude,ncbi_bioproject_accession,ncbi_bioproject_accession_number,ncbi_biosample_accession,ncbi_biosample_accession_number,nitrate_nitrogen,nitrate_nitrogen_meth,nucl_acid_ext,organic_carbon,organic_carbon_meth,ph,ph_meth,ph_solid_h2o,ph_solid_h2o_meth,phosphorus_colwell,phosphorus_colwell_meth,potassium_colwell,potassium_colwell_meth,read_length,sample_database_file,sample_extraction_id,sample_metadata_ingest_date,sample_metadata_ingest_file,sample_metadata_update_history,sample_site_location_description,sample_submission_date,sample_type,sand,sand_meth,sequencer,silt,silt_meth,slope_aspect,slope_gradient,source_mat_id,store_cond,sulphur,sulphur_meth,texture,texture_meth,ticket,url,utc_date_sampled,vegetation_type,water_content,water_content_soil_meth,Sample
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,10714_1,"Chowilla, Metagenomics",bpa-base-metagenomics-10714_1-hflf3bcxx,"{""coordinates"": [140.6958, -34.0597], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2016-02-18,date,illumina-shortread,NA,Soil,2,meth_2.1,1.8.2,2015-11-20,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.33,meth_2.1,8.82,meth_2.1,75.41,meth_2.1,2013-03-29T00:00:00Z,BROR,0.103,meth_2.1,2015-11-20,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/,2015-11-20,0,0.1,0,BASE metagenomics,0.86,meth_2.1,5,meth_2.1,2.67,meth_2.1,0.46,meth_2.1,21,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.041,meth_2.1,7.71,meth_2.1,1.1,meth_2.1,0.48,meth_2.1,0.07,meth_2.1,AGRF,13.8,meth_2.1,HFLF3BCXX,20151120_AGRF_BPA_BASE_HFLF3BCXX,Arid,Australia:South Australia [GAZ_00002791],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,550bp,-34.0597 140.6958,-34.0597,TruSeq PCR Free DNA,Calcarosol,meth_2.27,140.6958,PRJNA317932,PRJNA317932,SAMN04874108,SAMN04874108,2,meth_2.1,meth_3.1.1,0.48,meth_2.1,7.8,meth_2.1,8.4,meth_2.1,10,meth_2.1,187,meth_2.1,150bp,AM_db_v4.2_202408091431.db,10714_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,2015-11-20,Soil,89.21,meth_2.1,HiSeq 2500,1.97,meth_2.1,82,0,102.100.100/10714,frozen,2.8,meth_2.1,1,meth_2.1,BRLOPS-738,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10714,2013-03-29,Shrubland,2.742230347,meth_2.1,10714
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,10716_2,"Reny Island, Metagenomics",bpa-base-metagenomics-10716_2-hflf3bcxx,"{""coordinates"": [140.7354, -34.05624], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2016-02-18,date,illumina-shortread,NA,Soil,3,meth_2.1,1.8.2,2015-11-20,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,1.66,meth_2.1,42.24,meth_2.1,4.79,meth_2.1,2013-03-29T00:00:00Z,LTGR,0.549,meth_2.1,2015-11-20,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/,2015-11-20,0,0.1,0,BASE metagenomics,3.19,meth_2.1,162.44,meth_2.1,23.6,meth_2.1,0.94,meth_2.1,16,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.049,meth_2.1,20.24,meth_2.1,6.72,meth_2.1,1.38,meth_2.1,3.8,meth_2.1,AGRF,34.83,meth_2.1,HFLF3BCXX,20151120_AGRF_BPA_BASE_HFLF3BCXX,Arid,Australia:South Australia [GAZ_00002791],35,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,550bp,-34.05624 140.7354,-34.05624,TruSeq PCR Free DNA,Vertosol,meth_2.27,140.7354,PRJNA317932,PRJNA317932,SAMN04874110,SAMN04874110,2,meth_2.1,meth_3.1.1,2.49,meth_2.1,6.9,meth_2.1,7.6,meth_2.1,89,meth_2.1,539,meth_2.1,150bp,AM_db_v4.2_202408091431.db,10716_2,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Reny Island,2015-11-20,Soil,39.62,meth_2.1,HiSeq 2500,18.15,meth_2.1,182,0,102.100.100/10716,frozen,48.2,meth_2.1,2,meth_2.1,BRLOPS-738,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10716,2013-03-29,Woodland,10.24887321,meth_2.1,10716
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,10718_2,"Chowilla, Metagenomics",bpa-base-metagenomics-10718_2-hflf3bcxx,"{""coordinates"": [140.7064, -34.03715], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2016-02-18,date,illumina-shortread,NA,Soil,5,meth_2.1,1.8.2,2015-11-20,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.79,meth_2.1,65.29,meth_2.1,0.72,meth_2.1,2013-03-29T00:00:00Z,GRWH,0.534,meth_2.1,2015-11-20,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/,2015-11-20,0,0.1,0,BASE metagenomics,3.28,meth_2.1,105.19,meth_2.1,32.34,meth_2.1,0.43,meth_2.1,19,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.102,meth_2.1,8.86,meth_2.1,9.51,meth_2.1,0.76,meth_2.1,6.17,meth_2.1,AGRF,12.84,meth_2.1,HFLF3BCXX,20151120_AGRF_BPA_BASE_HFLF3BCXX,Arid,Australia:South Australia [GAZ_00002791],25,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,550bp,-34.03715 140.7064,-34.03715,TruSeq PCR Free DNA,Calcarosol,meth_2.27,140.7064,PRJNA317932,PRJNA317932,SAMN04874112,SAMN04874112,3,meth_2.1,meth_3.1.1,1.09,meth_2.1,5.4,meth_2.1,6.3,meth_2.1,21,meth_2.1,296,meth_2.1,150bp,AM_db_v4.2_202408091431.db,10718_2,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,2015-11-20,Soil,13.56,meth_2.1,HiSeq 2500,21.15,meth_2.1,127,0,102.100.100/10718,frozen,56.8,meth_2.1,1.5,meth_2.1,BRLOPS-738,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10718,2013-03-29,Shrubland,11.51061776,meth_2.1,10718
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,10720_1,"Chowilla, Metagenomics",bpa-base-metagenomics-10720_1-hflf3bcxx,"{""coordinates"": [140.719, -33.9556], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2016-02-18,date,illumina-shortread,NA,Soil,1e-10,meth_2.1,1.8.2,2015-11-20,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.72,meth_2.1,11.86,meth_2.1,61.63,meth_2.1,2013-03-29T00:00:00Z,OR,0.161,meth_2.1,2015-11-20,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/,2015-11-20,0,0.1,0,BASE metagenomics,1.12,meth_2.1,7.52,meth_2.1,4.08,meth_2.1,0.2,meth_2.1,62,1 Conservation and Natural Environments,1.1.4 Natural feature protection,Soil [ENVO_00001998],0.06,meth_2.1,8.01,meth_2.1,1.46,meth_2.1,0.65,meth_2.1,0.77,meth_2.1,AGRF,22.54,meth_2.1,HFLF3BCXX,20151120_AGRF_BPA_BASE_HFLF3BCXX,Arid,Australia:South Australia [GAZ_00002791],5,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,550bp,-33.9556 140.719,-33.9556,TruSeq PCR Free DNA,Calcarosol,meth_2.27,140.719,PRJNA317932,PRJNA317932,SAMN04874114,SAMN04874114,1e-10,meth_2.1,meth_3.1.1,0.28,meth_2.1,8.1,meth_2.1,9.1,meth_2.1,3,meth_2.1,254,meth_2.1,150bp,AM_db_v4.2_202408091431.db,10720_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Chowilla,2015-11-20,Soil,84.18,meth_2.1,HiSeq 2500,3.97,meth_2.1,262,1,102.100.100/10720,frozen,5.7,meth_2.1,1,meth_2.1,BRLOPS-738,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/10720,2013-03-29,Woodland,4.118050789,meth_2.1,10720
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12459_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12459_1-h2thfbcxx,"{""coordinates"": [148.798917, -35.423567], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2017-08-09,date,illumina-shortread,NA,Soil,11,meth_2.1,1.8.2,2017-05-11,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.52,meth_2.1,11.96,meth_2.1,52.99,meth_2.1,2013-08-14T00:00:00Z,BR,0.042,meth_2.1,2017-05-11,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2017-05-11,0,0.1,0,BASE metagenomics,0.59,meth_2.1,85.61,meth_2.1,69.51,meth_2.1,4.22,meth_2.1,1281,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],3.088,meth_2.1,1.84,meth_2.1,0.68,meth_2.1,0.63,meth_2.1,0.04,meth_2.1,RAMACIOTTI,14.04,meth_2.1,H2THFBCXX,20150522_UNSW_BPA_BASE_H2THFBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,300-1000bp,-35.423567 148.798917,-35.423567,TruSeq Nano,Tenosols,meth_2.27,148.798917,PRJNA317932,PRJNA317932,SAMN04874144,SAMN04874144,1e-10,meth_2.1,meth_3.1.1,4.58,meth_2.1,4.2,meth_2.1,5.2,meth_2.1,12,meth_2.1,247,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12459_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;,Namadgi NP,2017-05-11,Soil,67.02,meth_2.1,HiSeq2500,21.02,meth_2.1,NA,0,102.100.100/12459,frozen,3.2,meth_2.1,1,meth_2.1,BRLOPS-649,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12459,2013-08-14,Woodland,30.1335175,meth_2.1,12459
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12461_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12461_1-h2thfbcxx,"{""coordinates"": [148.797583, -35.423733], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2017-08-09,date,illumina-shortread,NA,Soil,14,meth_2.1,1.8.2,2017-05-11,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.64,meth_2.1,20.02,meth_2.1,40.74,meth_2.1,2013-08-14T00:00:00Z,BR,0.077,meth_2.1,2017-05-11,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2017-05-11,0,0.1,0,BASE metagenomics,0.66,meth_2.1,159.65,meth_2.1,146.03,meth_2.1,6.49,meth_2.1,1266,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],2.097,meth_2.1,8.23,meth_2.1,1.72,meth_2.1,0.82,meth_2.1,0.07,meth_2.1,RAMACIOTTI,17.1,meth_2.1,H2THFBCXX,20150522_UNSW_BPA_BASE_H2THFBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,300-1000bp,-35.423733 148.797583,-35.423733,TruSeq Nano,Tenosols,meth_2.27,148.797583,PRJNA317932,PRJNA317932,SAMN04874146,SAMN04874146,1e-10,meth_2.1,meth_3.1.1,4.46,meth_2.1,4,meth_2.1,5,meth_2.1,54,meth_2.1,357,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12461_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;,Namadgi NP,2017-05-11,Soil,57.85,meth_2.1,HiSeq2500,22.13,meth_2.1,NA,5,102.100.100/12461,frozen,5.7,meth_2.1,1,meth_2.1,BRLOPS-649,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12461,2013-08-14,Forest,39.13043478,meth_2.1,12461
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12463_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12463_1-h3vckbcxx,"{""coordinates"": [148.797883, -35.423883], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2015-09-27,date,illumina-shortread,NA,Soil,12,meth_2.1,1.8.2,2015-06-29,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.41,meth_2.1,15.84,meth_2.1,47.36,meth_2.1,2013-08-14T00:00:00Z,BR,0.063,meth_2.1,2015-06-29,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2015-06-29,0,0.1,0,BASE metagenomics,0.84,meth_2.1,130.67,meth_2.1,232.09,meth_2.1,10.12,meth_2.1,1263,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.796,meth_2.1,10.45,meth_2.1,1.8,meth_2.1,0.67,meth_2.1,0.05,meth_2.1,AGRF,18.87,meth_2.1,H3VCKBCXX,20150629_AGRF_BPA_BASE_H3VFCBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,550bp,-35.423883 148.797883,-35.423883,TruSeq PCR Free DNA,Tenosols,meth_2.27,148.797883,PRJNA317932,PRJNA317932,SAMN04874148,SAMN04874148,1e-10,meth_2.1,meth_3.1.1,4.46,meth_2.1,4.3,meth_2.1,5.3,meth_2.1,47,meth_2.1,261,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12463_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;,Namadgi NP,2015-06-29,Soil,66.23,meth_2.1,HiSeq 2500,17.93,meth_2.1,NA,5,102.100.100/12463,frozen,6.1,meth_2.1,1,meth_2.1,BRLOPS-660,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12463,2013-08-14,Forest,37.12099745,meth_2.1,12463
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12465_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12465_1-h2thfbcxx,"{""coordinates"": [148.79855, -35.4214], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2017-08-09,date,illumina-shortread,NA,Soil,22,meth_2.1,1.8.2,2017-05-11,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,1.35,meth_2.1,12.69,meth_2.1,46.07,meth_2.1,2013-08-14T00:00:00Z,BR,0.064,meth_2.1,2017-05-11,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2017-05-11,0,0.1,0,BASE metagenomics,0.89,meth_2.1,133.05,meth_2.1,167.95,meth_2.1,8.88,meth_2.1,1262,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.2,meth_2.1,18.56,meth_2.1,2.4,meth_2.1,0.74,meth_2.1,0.05,meth_2.1,RAMACIOTTI,21.14,meth_2.1,H2THFBCXX,20150522_UNSW_BPA_BASE_H2THFBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,300-1000bp,-35.4214 148.79855,-35.4214,TruSeq Nano,Tenosols,meth_2.27,148.79855,PRJNA317932,PRJNA317932,SAMN04874150,SAMN04874150,1e-10,meth_2.1,meth_3.1.1,4.82,meth_2.1,4.7,meth_2.1,5.7,meth_2.1,68,meth_2.1,320,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12465_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Namadgi NP,2017-05-11,Soil,67.21,meth_2.1,HiSeq2500,20.09,meth_2.1,NA,0,102.100.100/12465,frozen,5,meth_2.1,1,meth_2.1,BRLOPS-649,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12465,2013-08-14,Forest,39.63763509,meth_2.1,12465
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12467_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12467_1-h2thfbcxx,"{""coordinates"": [148.79595, -35.42375], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2017-08-09,date,illumina-shortread,NA,Soil,6,meth_2.1,1.8.2,2017-05-11,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.37,meth_2.1,18.15,meth_2.1,51.52,meth_2.1,2013-08-14T00:00:00Z,BR,0.07,meth_2.1,2017-05-11,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2017-05-11,0,0.1,0,BASE metagenomics,0.75,meth_2.1,129.03,meth_2.1,206.88,meth_2.1,10.48,meth_2.1,1294,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.769,meth_2.1,8.04,meth_2.1,0.86,meth_2.1,0.63,meth_2.1,0.06,meth_2.1,RAMACIOTTI,14.1,meth_2.1,H2THFBCXX,20150522_UNSW_BPA_BASE_H2THFBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,300-1000bp,-35.42375 148.79595,-35.42375,TruSeq Nano,Tenosols,meth_2.27,148.79595,PRJNA317932,PRJNA317932,SAMN04874152,SAMN04874152,1e-10,meth_2.1,meth_3.1.1,4.3,meth_2.1,4.4,meth_2.1,5.4,meth_2.1,49,meth_2.1,268,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12467_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Namadgi NP,2017-05-11,Soil,65.62,meth_2.1,HiSeq2500,16.23,meth_2.1,NA,5,102.100.100/12467,frozen,6.6,meth_2.1,1,meth_2.1,BRLOPS-649,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12467,2013-08-14,Forest,28.10313076,meth_2.1,12467
75a9f0a5-fc60-4af6-b455-32e2011d969b,BASE,Metagenomics,12469_1,"Namadgi NP, Metagenomics",bpa-base-metagenomics-12469_1-h2thfbcxx,"{""coordinates"": [148.7968, -35.4235], ""type"": ""Point""}",CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,2017-08-09,date,illumina-shortread,NA,Soil,7,meth_2.1,1.8.2,2017-05-11,NA,Biome of Australia Soil Environments (BASE),NA,Free-living,0.49,meth_2.1,16.9,meth_2.1,50.11,meth_2.1,2013-08-14T00:00:00Z,BR,0.081,meth_2.1,2017-05-11,Metagenomics,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,NA,NA,2017-05-11,0,0.1,0,BASE metagenomics,0.62,meth_2.1,99.48,meth_2.1,100.06,meth_2.1,4.24,meth_2.1,1278,1 Conservation and Natural Environments,1.1.3 National park,Soil [ENVO_00001998],0.115,meth_2.1,12.39,meth_2.1,1.63,meth_2.1,0.92,meth_2.1,0.05,meth_2.1,RAMACIOTTI,11.74,meth_2.1,H2THFBCXX,20150522_UNSW_BPA_BASE_H2THFBCXX,Temperate,Australia:Australian Capital Territory [GAZ_00002788],0,meth_2.1,DOI 10.5281/zenodo.6265730,meth_2.26,300-1000bp,-35.4235 148.7968,-35.4235,TruSeq Nano,Tenosols,meth_2.27,148.7968,PRJNA317932,PRJNA317932,SAMN04874154,SAMN04874154,1e-10,meth_2.1,meth_3.1.1,3.75,meth_2.1,5.2,meth_2.1,6.1,meth_2.1,51,meth_2.1,361,meth_2.1,150bp,AM_db_v4.2_202408091431.db,12469_1,2021-04-23T11:13:48Z,BASE_NEW_CKAN_Curated_depth_xlsx,All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Namadgi NP,2017-05-11,Soil,61.85,meth_2.1,HiSeq2500,21.25,meth_2.1,NA,2,102.100.100/12469,frozen,5.4,meth_2.1,1,meth_2.1,BRLOPS-649,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/12469,2013-08-14,Forest,25.78974625,meth_2.1,12469
