virus_name length
1 10716_k127_418508 18284
2 10716_k127_161491 18986
3 10716_k127_13228 37297
4 10716_k127_545802 12983
5 10716_k127_674913 19322
6 10716_k127_719957 20117
7 12461_k127_658013 45309
8 12461_k127_553080 10662
9 12469_k127_171278 14606
10 12479_k127_254417 55450
11 12479_k127_136670 15440
12 12479_k127_245738 10028
13 12574_k127_272331 19843
14 12884_k127_825765 12750
15 12886_k127_1105159 21592
16 12891_k127_570857 10828
17 13729_k127_886010 10826
18 14185_k127_154331 10561
19 14185_k127_287172 11099
20 19453_k127_160828 13825
21 19455_k127_122802 18551
22 19461_k127_672737 12342
23 19461_k127_27401 11911
24 19461_k127_283204 14744
25 19463_k127_467840 10217
26 19483_k127_467846 41845
27 19485_k127_678811 30033
28 19485_k127_715130 39949
29 19487_k127_703006 11353
30 19493_k127_107484 38327
31 19493_k127_147659 12285
32 19493_k127_142925 27022
33 19493_k127_425908 17992
34 19497_k127_933036 14382
35 19497_k127_136883 15315
36 19497_k127_1013180 21884
37 19501_k127_435133 41125
38 19503_k127_144046 13012
39 19503_k127_391156 16895
40 19503_k127_151967 11472
41 19503_k127_225883 21913
42 19503_k127_144292 71056
43 19505_k127_130040 11540
44 19505_k127_99432 18040
45 19507_k127_142831 45368
46 19507_k127_286849 37187
47 19507_k127_347980 25745
48 19511_k127_1061349 44409
49 19511_k127_1061342 67974
50 19517_k127_239088 22047
51 19517_k127_625488 49112
52 19517_k127_131752 22282
53 19517_k127_197264 15122
54 19517_k127_413094 19760
55 19517_k127_84331 15144
56 7039_k127_373876 10412
57 7039_k127_527781 12977
58 7039_k127_930145 21780
59 7039_k127_891757 24446
60 7039_k127_321619 13972
61 7091_k127_82536 15020
62 7091_k127_719048 10076
63 7829_k127_45339 17167
64 7829_k127_565106 14838
65 7833_k127_182163 13533
66 7833_k127_512406 32679
67 7835_k127_200959 13427
68 7835_k127_89753 16601
69 7843_k127_493744 15352
70 7843_k127_471671 37831
71 7851_k127_366967 48290
72 7853_k127_58026 32503
73 7853_k127_459621 62513
74 7857_k127_346847 36504
75 7888_k127_48317 14075
76 7888_k127_81063 13488
77 7888_k127_486462 22530
78 7888_k127_143873 26787
79 7888_k127_484747 11868
80 7894_k127_107485 10227
81 7898_k127_159955 29219
82 7898_k127_236636 11329
83 7898_k127_329680 10271
84 8108_k127_253971 12511
85 8108_k127_263333 24675
86 8128_k127_362195 10533
87 8128_k127_173776 16654
88 8128_k127_96567 20474
89 8128_k127_401862 15371
90 8132_k127_486683 60081
91 8132_k127_307815 17486
92 8134_k127_106036 33415
93 8134_k127_106036 10283
94 8134_k127_301499 99147
95 8142_k127_293407 10320
96 8142_k127_76486 20404
97 8142_k127_147353 10553
98 8142_k127_263033 19504
99 8142_k127_239694 12830
100 8142_k127_24120 28244
101 8150_k127_673939 42033
102 8150_k127_562314 16097
103 8150_k127_308051 10102
104 8455_k127_627101 12595
105 8455_k127_536589 10300
106 8455_k127_566553 16757
107 8455_k127_604240 10698
108 8455_k127_491313 10324
109 8455_k127_51573 14610
110 8455_k127_672220 49831
111 8455_k127_343625 61053
112 8455_k127_226327 16979
113 8455_k127_40341 21314
114 9436_k127_298346 15963
115 9436_k127_211685 11670
116 9436_k127_107197 11681
117 9436_k127_210431 20795
118 9442_k127_540408 14070
119 9442_k127_704001 42636
120 9442_k127_582926 44370
121 9444_k127_85002 13038
122 9444_k127_553473 36130
123 9444_k127_518422 36057
124 9444_k127_61917 16236
125 9448_k127_41606 26893
126 9452_k127_542325 18626
127 9452_k127_198795 32048
128 9460_k127_598181 48531
129 9464_k127_342081 10659
130 9488_k127_188421 37917
131 9500_k127_664379 11356
132 9508_k127_19645 38332
133 9508_k127_605298 145533
134 9510_k127_6126 15564
135 9510_k127_6365 12894
136 10716_k127_736674 5513
137 10716_k127_154747 5717
138 10716_k127_332727 6221
139 12461_k127_196884 7518
140 12461_k127_624167 8760
141 12461_k127_416762 8515
142 12461_k127_38392 5584
143 12467_k127_3075 5164
144 12469_k127_44112 5004
145 12469_k127_412631 5946
146 12471_k127_646888 5158
147 12471_k127_333885 6607
148 12479_k127_595698 5415
149 12479_k127_89004 6001
150 12479_k127_185216 6163
151 12479_k127_316512 5909
152 12479_k127_489832 7114
153 12479_k127_156987 5359
154 12479_k127_116998 6045
155 12479_k127_431012 6548
156 12483_k127_396890 5513
157 12483_k127_285149 5126
158 12489_k127_275926 5824
159 12489_k127_105178 9331
160 12489_k127_416533 6937
161 12489_k127_325544 5470
162 12489_k127_329844 5643
163 12560_k127_373828 5511
164 12562_k127_114873 5774
165 12570_k127_279593 7447
166 12572_k127_341633 5513
167 12572_k127_103336 6589
168 12574_k127_170016 8145
169 12838_k127_1085709 5513
170 12838_k127_950913 6378
171 12862_k127_164916 5987
172 12862_k127_397461 5254
173 12884_k127_1970174 5513
174 12884_k127_455931 5143
175 12886_k127_1525801 5513
176 12897_k127_624029 5503
177 12901_k127_637338 5513
178 12903_k127_140545 6247
179 12903_k127_835802 5157
180 12903_k127_755765 8215
181 12903_k127_381144 6624
182 13274_k127_135501 5813
183 13274_k127_33186 5377
184 13274_k127_173931 9324
185 13274_k127_39139 5450
186 13274_k127_49537 9565
187 13278_k127_182455 6877
188 13729_k127_544341 5603
189 13729_k127_131525 7139
190 13729_k127_327370 6412
191 13729_k127_806940 5958
192 13729_k127_38342 6304
193 13729_k127_120976 5031
194 13733_k127_561220 5513
195 14185_k127_380980 7918
196 14185_k127_559165 6172
197 14185_k127_182361 9319
198 14185_k127_385094 5747
199 14185_k127_352338 6351
200 14185_k127_533424 7441
201 14185_k127_35203 5685
202 14185_k127_477096 7691
203 19453_k127_304675 7947
204 19453_k127_109098 7615
205 19459_k127_433172 6370
206 19459_k127_191491 6474
207 19459_k127_408986 8414
208 19459_k127_365530 6440
209 19459_k127_261766 5369
210 19459_k127_388191 6309
211 19459_k127_69059 5189
212 19459_k127_468979 5568
213 19459_k127_282573 8560
214 19461_k127_297489 5108
215 19461_k127_60226 9548
216 19461_k127_181432 5166
217 19461_k127_253370 5838
218 19461_k127_478974 6067
219 19463_k127_49818 7312
220 19465_k127_488271 6569
221 19465_k127_395988 7909
222 19465_k127_311692 5076
223 19467_k127_210769 6458
224 19477_k127_69029 9983
225 19479_k127_35644 8263
226 19481_k127_411746 5956
227 19481_k127_101795 5486
228 19485_k127_2360 5118
229 19485_k127_96299 6213
230 19485_k127_26595 8549
231 19487_k127_38016 5670
232 19487_k127_529075 7301
233 19487_k127_368507 5296
234 19487_k127_702064 9781
235 19487_k127_347481 5071
236 19487_k127_269638 7382
237 19487_k127_641211 5994
238 19487_k127_585744 7077
239 19493_k127_90806 9611
240 19495_k127_524629 6763
241 19497_k127_944355 8691
242 19499_k127_330521 5544
243 19499_k127_340356 5930
244 19499_k127_161166 6608
245 19503_k127_534755 7038
246 19503_k127_337871 5757
247 19503_k127_500752 6107
248 19503_k127_289905 6061
249 19503_k127_373048 7676
250 19503_k127_35389 9409
251 19503_k127_323026 6786
252 19503_k127_86045 9744
253 19505_k127_20077 6240
254 19505_k127_368385 5412
255 19505_k127_543411 5484
256 19505_k127_198685 5630
257 19505_k127_377817 8058
258 19505_k127_547165 7113
259 19505_k127_423810 7021
260 19505_k127_522921 5452
261 19505_k127_7072 5112
262 19505_k127_437859 6188
