seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_50468	6275	No terminal repeats	5	11	0.9912	NA	0	3.9737	NA	NA
k127_244492	308	No terminal repeats	1	11	0.9903	NA	1	1.7183	NA	NA
k127_232058	1544	No terminal repeats	2	11	0.9893	NA	1	2.8953	F_traE	NA
k127_173340	660	No terminal repeats	2	11	0.9890	NA	1	3.0489	F_traE	NA
k127_345416	1447	No terminal repeats	4	11	0.9886	NA	2	4.5125	F_traE;F_traE	NA
k127_521890	336	No terminal repeats	2	11	0.9886	NA	1	3.0489	F_traE	NA
k127_139576	315	No terminal repeats	1	11	0.9880	NA	1	1.7183	NA	NA
k127_81108	710	No terminal repeats	2	11	0.9878	NA	1	3.0489	F_traE	NA
k127_341392	4598	No terminal repeats	8	11	0.9876	NA	0	3.8151	NA	NA
k127_229138	3049	No terminal repeats	2	11	0.9871	NA	0	1.7183	NA	NA
k127_1836	1291	No terminal repeats	2	11	0.9846	NA	1	2.7114	F_traE	NA
k127_514912	425	No terminal repeats	2	11	0.9846	NA	1	3.0489	F_traE	NA
k127_453589	4279	No terminal repeats	3	11	0.9838	NA	0	1.7183	NA	NA
k127_157063	408	No terminal repeats	2	11	0.9826	NA	2	2.5969	T_virB2;T_virB3	NA
k127_353663	583	No terminal repeats	1	11	0.9823	NA	1	1.4636	F_traE	NA
k127_457683	15412	No terminal repeats	14	11	0.9822	NA	0	6.0093	NA	NA
k127_340797	441	No terminal repeats	1	11	0.9813	NA	1	1.4636	F_traE	NA
k127_492764	1622	No terminal repeats	2	11	0.9812	NA	1	1.4636	F_traE	NA
k127_206764	347	No terminal repeats	2	11	0.9809	NA	1	2.5932	F_traE	NA
k127_407563	4126	No terminal repeats	8	11	0.9809	NA	0	1.7183	NA	NA
k127_332693	444	No terminal repeats	2	11	0.9807	NA	2	2.2801	T_virB2;T_virB3	NA
k127_205846	307	No terminal repeats	1	11	0.9806	NA	1	1.4636	F_traE	NA
k127_294113	4984	No terminal repeats	9	11	0.9805	NA	0	2.6416	NA	NA
k127_186515	917	No terminal repeats	2	11	0.9802	NA	1	2.5932	F_traE	NA
k127_223620	3307	No terminal repeats	2	11	0.9799	NA	2	2.6296	T_virB8;T_virB8	NA
k127_8303	524	No terminal repeats	2	11	0.9798	NA	2	2.6685	T_virB6;T_virB8	NA
k127_427076	1139	No terminal repeats	2	11	0.9797	NA	1	2.5932	F_traE	NA
k127_343135	4166	No terminal repeats	2	11	0.9792	NA	0	1.5828	NA	NA
k127_146194	469	No terminal repeats	1	11	0.9791	NA	1	1.4636	F_traE	NA
k127_171071	531	No terminal repeats	1	11	0.9789	NA	1	1.4636	F_traE	NA
k127_167738	699	No terminal repeats	1	11	0.9788	NA	1	0.8949	NA	NA
k127_129468	366	No terminal repeats	1	11	0.9786	NA	1	1.4636	F_traE	NA
k127_424668	372	No terminal repeats	1	11	0.9786	NA	1	1.6642	NA	NA
k127_277672	400	No terminal repeats	1	11	0.9783	NA	1	1.4636	F_traE	NA
k127_251407	3487	No terminal repeats	5	11	0.9773	NA	0	3.0423	NA	NA
